,Origin,Destination,Number of Trips
0,1,35,229.6
1,1,43,233.1
2,4,1,310.9
3,4,2,273.5
4,4,17,254.1
5,5,1,310.9
6,6,7,315.6
7,7,1,1100.2
8,7,2,315.6
9,7,4,512.0
10,7,43,582.5
11,7,48,233.1
12,8,1,257.9
13,8,2,273.5
14,8,3,273.5
15,8,7,254.1
16,8,14,257.9
17,8,44,229.6
18,9,39,369.2
19,10,4,402.9
20,11,2,863.8
21,12,1,842.8
22,13,4,824.3
23,13,5,462.6
24,17,1,405.6
25,17,8,402.9
26,17,11,421.4
27,17,13,402.9
28,17,14,422.9
29,17,17,421.4
30,17,42,346.6
31,18,1,824.3
32,18,7,421.4
33,18,11,402.9
34,18,12,483.9
35,19,4,424.3
36,19,6,421.4
37,19,7,422.9
38,19,13,805.8
39,19,17,421.4
40,19,40,532.8
41,21,1,257.9
42,21,2,254.1
43,21,39,229.6
44,21,43,369.2
45,22,1,394.4
46,22,2,254.1
47,22,27,257.9
48,22,37,369.2
49,23,1,755.4
50,23,2,377.7
51,23,40,468.3
52,24,1,663.2
53,24,2,331.6
54,24,7,709.3
55,24,8,323.9
56,24,39,533.4
57,24,63,237.1
58,25,6,377.7
59,25,22,331.6
60,25,40,582.4
61,25,55,354.1
62,26,1,1101.6
63,26,2,799.6
64,26,6,346.2
65,26,7,331.6
66,26,19,394.3
67,26,22,377.7
68,26,26,331.6
69,27,1,2898.7
70,27,2,377.7
71,27,7,331.6
72,27,9,377.7
73,27,24,331.6
74,27,37,533.4
75,29,1,487.4
76,29,4,243.7
77,29,7,194.5
78,29,42,262.2
79,30,1,1148.3
80,30,31,340.1
81,31,1,243.7
82,31,2,438.2
83,31,3,601.3
84,31,9,243.7
85,31,31,471.5
86,31,32,209.3
87,31,39,943.0
88,31,40,746.2
89,31,42,533.5
90,32,1,389.0
91,32,4,243.7
92,32,30,262.2
93,32,31,498.2
94,32,39,209.3
95,32,44,549.4
96,34,1,194.5
97,34,6,480.0
98,34,7,845.0
99,34,31,397.7
100,34,35,471.5
101,34,37,209.3
102,35,1,849.2
103,35,2,863.7
104,35,46,486.8
105,38,1,1600.1
106,38,2,194.5
107,38,4,600.6
108,38,37,471.5
109,38,47,704.0
110,39,1,249.1
111,40,1,557.5
112,44,1,244.9
113,47,5,408.2
114,47,40,302.9
115,47,43,308.1
116,47,44,424.9
117,47,47,478.7
118,48,1,462.3
119,48,39,308.1
120,48,41,308.1
121,49,43,308.1
122,52,1,494.0
123,52,7,244.9
124,52,40,302.9
125,52,44,308.1
126,52,50,408.2
127,55,1,881.8
128,55,2,442.0
129,55,6,116.0
130,55,7,58.0
131,55,21,56.7
132,55,22,174.0
133,55,24,56.7
134,55,25,58.0
135,55,31,51.0
136,55,39,114.0
137,55,55,49.9
138,55,67,49.9
139,58,22,188.7
140,59,1,188.7
141,60,4,394.7
142,61,1,2044.0
143,62,1,1444.7
144,62,2,377.4
145,62,6,483.7
146,62,63,197.8
147,62,64,232.4
148,63,1,206.0
149,63,4,206.0
